Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateSearchFieldItem_002,Chrome 121.0.0.0,,,2024-02-08 00:55:52,2024-02-08 00:57:03,1m - 11.066s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_002,Chrome 121.0.0.0,,,2024-02-08 00:55:55,2024-02-08 00:57:03,1m - 7.556s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,2024-02-08 00:55:56,2024-02-08 00:55:58,2.751s,PASSED
Start setup action : setupTestCase,Chrome 121.0.0.0,,,2024-02-08 00:55:58,2024-02-08 00:56:02,3.203s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,2024-02-08 00:56:02,2024-02-08 00:56:05,2.540s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,2024-02-08 00:56:05,2024-02-08 00:56:08,3.084s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), Books, false)",Chrome 121.0.0.0,,,2024-02-08 00:56:08,2024-02-08 00:56:09,1.282s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""))",Chrome 121.0.0.0,,,2024-02-08 00:56:09,2024-02-08 00:56:12,2.570s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Da vin ci code"")",Chrome 121.0.0.0,,,2024-02-08 00:56:12,2024-02-08 00:56:15,3.133s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,2024-02-08 00:56:15,2024-02-08 00:56:21,6.474s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), Electronics, false)",Chrome 121.0.0.0,,,2024-02-08 00:56:21,2024-02-08 00:56:22,1.191s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-08 00:56:22,2024-02-08 00:56:24,1.045s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Mobile Phones"")",Chrome 121.0.0.0,,,2024-02-08 00:56:24,2024-02-08 00:56:25,1.494s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,2024-02-08 00:56:25,2024-02-08 00:56:31,6.247s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), All_departments, false)",Chrome 121.0.0.0,,,2024-02-08 00:56:31,2024-02-08 00:56:35,3.581s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-08 00:56:35,2024-02-08 00:56:36,0.687s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Washing Machines"")",Chrome 121.0.0.0,,,2024-02-08 00:56:36,2024-02-08 00:56:39,3.622s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,2024-02-08 00:56:39,2024-02-08 00:56:47,8.093s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), Furniture, false)",Chrome 121.0.0.0,,,2024-02-08 00:56:47,2024-02-08 00:56:49,1.596s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-08 00:56:49,2024-02-08 00:56:50,1.224s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Wooden Tables"")",Chrome 121.0.0.0,,,2024-02-08 00:56:50,2024-02-08 00:56:52,2.137s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,2024-02-08 00:56:52,2024-02-08 00:57:02,9.528s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,2024-02-08 00:57:02,2024-02-08 00:57:03,1.172s,PASSED
Start tear down : tearDownTestCase,Chrome 121.0.0.0,,,2024-02-08 00:57:03,2024-02-08 00:57:03,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,2024-02-08 00:57:03,2024-02-08 00:57:03,0.008s,PASSED
